question_id,exercise_id,question_text,option_a,option_b,option_c,option_d,correct_answer,marks,display_order,image_data,image_mime_type,image_path,image_url
3528,357,"In a galvanic (voltaic) cell, chemical energy is converted to electrical energy through spontaneous redox reactions. Which statement is true for a galvanic cell?",The emf is always positive,The anode is positive and reduction occurs,The cathode is negative and oxidation occurs,The reaction is endothermic,A,1,1,,,,/uploads/questions/electrochemistry_exercise_1_question_1.jpg
3529,357,"According to the mnemonic AN OX, oxidation occurs at the anode. In an electrolytic cell, the anode is:",Negative and reduction occurs,Positive and oxidation occurs,Negative and oxidation occurs,Positive and reduction occurs,B,1,2,,,,/uploads/questions/electrochemistry_exercise_1_question_2.jpg
3530,357,"In the electrolysis of a solution containing chloride ions (Cl⁻) and sulphate ions (SO₄²⁻), what product is formed at the anode?",Oxygen gas (O₂),Hydrogen gas (H₂),Chlorine gas (Cl₂),Sodium metal (Na),C,1,3,,,,/uploads/questions/electrochemistry_exercise_1_question_3.jpg
3619,366,"Sodium hydrogen carbonate (NaHCO3, baking soda) is a weak base. Which ion is responsible for the basic nature of the solution?",Na+,HCO3-,H2O,OH-,B,1,2,,,,/uploads/questions/acids_and_bases_exercise_5_question_2.jpg
3689,373,Which toxic metal is used in the mercury cell?,Lead,Cadmium,Mercury,Arsenic,C,1,2,,,,/uploads/questions/chlor_alkali_exercise_2_question_2.jpg
3618,366,Phosphoric acid (H3PO4) is a triprotic acid. How many protons can it donate?,1,2,3,4,C,1,1,,,,/uploads/questions/acids_and_bases_exercise_5_question_1.jpg
3531,357,"A student constructs a galvanic cell using a zinc strip in a zinc ion solution and a copper strip in a copper ion solution. A salt bridge containing KCl connects the two half-cells. A voltmeter connected between the electrodes shows a positive reading. In this Zn/Cu cell, electrons flow from:",Copper to zinc through the salt bridge,Zinc to copper through the salt bridge,Copper to zinc through the external circuit,Zinc to copper through the external circuit,D,1,4,,,,/uploads/questions/electrochemistry_exercise_1_question_4.jpg
3532,357,"For a redox reaction to be spontaneous (occur without added energy), the cell potential (E°cell) must be:",Positive,Negative,Zero,Undefined,A,1,5,,,,/uploads/questions/electrochemistry_exercise_1_question_5.jpg
3533,357,"In the refining of copper by electrolysis, impure copper is used as the anode and pure copper is used as the cathode. The electrolyte is a copper(II) sulphate solution. What happens at the anode during this process?",Cu²⁺(aq) + 2e⁻ → Cu(s),Cu(s) → Cu²⁺(aq) + 2e⁻,2H₂O → O₂(g) + 4H⁺ + 4e⁻,2H⁺ + 2e⁻ → H₂(g),B,1,6,,,,/uploads/questions/electrochemistry_exercise_1_question_6.jpg
3534,357,"In the extraction of aluminium from bauxite, cryolite (Na₃AlF₆) is added to the aluminium oxide (Al₂O₃). What is the purpose of adding cryolite?",To increase the melting point of Al₂O₃,To act as a reducing agent,To lower the melting point and reduce electricity requirements,To prevent the formation of oxygen gas,C,1,7,,,,/uploads/questions/electrochemistry_exercise_1_question_7.jpg
